serialnbr,productcode,batchnbr,Machinetime,Assemblytime,Finishingtime,cost
P1B1105N19,P1,B1105,1.89,3.06,4.04,43.16
P1B1105N20,P1,B1105,2.1,2.92,4.09,43.42
P1B1106N11,P1,B1106,1.92,3.12,3.75,41.95
P1B1106N12,P1,B1106,1.96,2.95,3.91,42.33
P1B1106N13,P1,B1106,1.94,3.13,3.91,42.83
P1B1106N14,P1,B1106,1.95,2.84,4.22,43.51
P1B1106N15,P1,B1106,2.01,3.0,4.0,43.02
P1B1106N16,P1,B1106,2.03,3.08,4.14,43.98
P1B1106N17,P1,B1106,1.94,3.05,3.94,42.72
P1B1106N18,P1,B1106,2.08,2.99,4.03,43.28
P1B1106N19,P1,B1106,1.99,2.99,4.19,43.9
P1B1106N20,P1,B1106,1.94,3.0,3.97,42.73
P1B1107N11,P1,B1107,1.94,2.99,4.1,43.35
P1B1107N12,P1,B1107,2.0,2.86,3.98,42.49
P1B1107N13,P1,B1107,2.02,3.03,4.09,43.59
P1B1107N14,P1,B1107,2.0,3.04,4.3,44.62
P1B1107N15,P1,B1107,1.89,2.93,4.06,42.87
P1B1107N16,P1,B1107,1.93,2.98,3.95,42.56
P1B1107N17,P1,B1107,2.04,2.93,3.92,42.47
P1B1107N18,P1,B1107,2.05,2.96,3.97,42.82
P1B1107N19,P1,B1107,2.07,3.07,4.01,43.4
P1B1107N20,P1,B1107,1.91,2.96,3.8,41.7
P1B1108N11,P1,B1108,1.88,2.9,4.14,43.15
P1B1108N12,P1,B1108,2.02,2.87,4.15,43.38
P1B1108N13,P1,B1108,1.98,2.97,4.04,43.06
P1B1108N14,P1,B1108,1.95,3.1,4.03,43.34
P1B1108N15,P1,B1108,2.13,3.14,4.07,44.03
P1B1108N16,P1,B1108,1.96,2.9,4.14,43.32
P1B1108N17,P1,B1108,2.05,3.2,4.12,44.32
P1B1108N18,P1,B1108,1.91,3.06,3.9,42.5
P1B1108N19,P1,B1108,2.04,2.96,3.9,42.46
P1B1108N20,P1,B1108,1.93,3.01,4.02,43.01
P1B1109N11,P1,B1109,2.05,3.11,3.95,43.19
P1B1109N12,P1,B1109,2.05,3.04,4.15,43.98
P1B1109N13,P1,B1109,1.9,2.78,3.99,42.1
P1B1109N14,P1,B1109,2.06,2.91,3.95,42.59
P1B1109N15,P1,B1109,2.05,2.86,4.11,43.23
P1B1109N16,P1,B1109,2.03,2.97,3.83,42.12
P1B1109N17,P1,B1109,2.01,2.93,3.62,40.93
P1B1109N18,P1,B1109,2.0,3.09,4.05,43.53
P1B1109N19,P1,B1109,1.96,3.04,4.06,43.34
P1B1109N20,P1,B1109,1.92,2.95,4.04,42.87
P1B1110N11,P1,B1110,1.89,3.09,4.01,43.1
P1B1110N12,P1,B1110,2.02,2.86,3.98,42.53
P1B1110N13,P1,B1110,2.12,3.17,3.87,43.11
P1B1110N14,P1,B1110,1.98,3.14,4.15,44.11
P1B1110N15,P1,B1110,2.12,2.92,3.94,42.69
P1B1110N16,P1,B1110,2.0,2.92,3.97,42.61
P1B1110N17,P1,B1110,1.99,3.0,4.1,43.48
P1B1110N18,P1,B1110,2.0,2.98,4.04,43.15
P1B1110N19,P1,B1110,1.99,3.23,4.01,43.72
P1B1110N20,P1,B1110,1.84,3.02,4.08,43.15
P1B1111N11,P1,B1111,1.89,3.11,4.2,44.1
P1B1111N12,P1,B1111,1.93,2.88,4.1,43.0
P1B1111N13,P1,B1111,1.8,3.05,3.91,42.31
P1B1111N14,P1,B1111,2.0,3.06,3.97,43.04
P1B1111N15,P1,B1111,1.98,3.08,3.94,42.9
P1B1111N16,P1,B1111,1.97,2.95,3.95,42.54
P1B1111N17,P1,B1111,2.01,3.12,4.47,45.75
P1B1111N18,P1,B1111,2.0,3.06,4.22,44.29
P1B1111N19,P1,B1111,2.02,2.92,3.94,42.48
P1B1111N20,P1,B1111,1.95,2.98,4.09,43.25
P1B1112N11,P1,B1112,1.91,3.04,3.97,42.79
P1B1112N12,P1,B1112,2.01,2.92,3.96,42.56
P1B1112N13,P1,B1112,1.97,3.08,4.03,43.34
P1B1112N14,P1,B1112,1.92,2.98,3.95,42.53
P1B1112N15,P1,B1112,1.98,2.9,3.76,41.44
P1B1112N16,P1,B1112,1.92,2.82,3.76,41.11
P1B1112N17,P1,B1112,2.1,3.01,4.16,44.02
P1B1112N18,P1,B1112,2.05,3.2,3.98,43.6
P1B1112N19,P1,B1112,1.87,3.13,4.13,43.77
P1B1112N20,P1,B1112,1.99,3.15,4.03,43.57
P1B1113N11,P1,B1113,1.9,3.07,3.94,42.7
P1B1113N12,P1,B1113,2.14,3.05,3.81,42.48
P1B1113N13,P1,B1113,1.91,2.87,4.08,42.85
P1B1113N14,P1,B1113,1.93,2.94,3.92,42.27
P1B1113N15,P1,B1113,1.98,2.99,4.1,43.43
P1B1113N16,P1,B1113,1.91,2.85,4.07,42.74
P1B1113N17,P1,B1113,2.06,2.97,3.97,42.88
P1B1113N18,P1,B1113,2.0,3.2,3.91,43.15
P1B1113N19,P1,B1113,2.06,2.93,3.87,42.26
P1B1113N20,P1,B1113,2.05,3.03,3.86,42.49
P1B1114N11,P1,B1114,1.9,3.09,3.9,42.57
P1B1114N12,P1,B1114,1.92,3.18,4.09,43.83
P1B1114N13,P1,B1114,2.09,2.82,4.11,43.19
P1B1114N14,P1,B1114,2.06,3.08,3.94,43.07
P1B1114N15,P1,B1114,1.92,3.0,3.95,42.61
P1B1114N16,P1,B1114,1.99,2.99,3.99,42.9
P1B1114N17,P1,B1114,1.9,3.07,4.25,44.25
P1B1114N18,P1,B1114,2.01,3.02,4.07,43.42
P1B1114N19,P1,B1114,2.05,2.97,3.97,42.88
P1B1114N20,P1,B1114,2.03,2.82,4.02,42.62
P1B1115N11,P1,B1115,1.91,2.94,3.85,41.9
P1B1115N12,P1,B1115,1.96,2.82,3.76,41.18
P1B1115N13,P1,B1115,2.05,2.73,4.31,43.84
P1B1115N14,P1,B1115,1.97,2.98,3.91,42.43
P1B1115N15,P1,B1115,2.14,3.01,4.12,43.92
P1B1115N16,P1,B1115,1.98,3.11,3.94,42.99
P1B1115N17,P1,B1115,1.96,3.08,3.76,41.96
P1B1115N18,P1,B1115,2.05,2.9,3.8,41.81
P1B1115N19,P1,B1115,2.01,2.94,3.93,42.48
P1B1115N20,P1,B1115,1.98,2.96,3.96,42.63
P1B1116N11,P1,B1116,2.15,3.03,3.66,41.69
P1B1116N12,P1,B1116,1.99,3.17,4.01,43.52
P1B1116N13,P1,B1116,2.03,2.94,4.21,43.92
P1B1116N14,P1,B1116,2.02,2.95,3.87,42.23
P1B1116N15,P1,B1116,1.98,3.15,3.97,43.26
P1B1116N16,P1,B1116,1.92,2.88,3.95,42.24
P1B1116N17,P1,B1116,2.11,2.84,4.05,43.0
P1B1116N18,P1,B1116,1.95,2.99,3.92,42.46
P1B1116N19,P1,B1116,2.07,2.96,3.9,42.51
P1B1116N20,P1,B1116,1.98,3.04,3.88,42.47
P1B1117N11,P1,B1117,2.0,2.94,3.85,42.07
P1B1117N12,P1,B1117,1.96,2.97,4.05,43.09
P1B1117N13,P1,B1117,2.05,3.09,3.89,42.81
P1B1117N14,P1,B1117,1.89,2.98,3.88,42.13
P1B1117N15,P1,B1117,2.13,3.0,3.86,42.57
P1B1117N16,P1,B1117,1.9,2.84,3.96,42.13
P1B1117N17,P1,B1117,2.01,3.15,4.0,43.46
P1B1117N18,P1,B1117,2.06,3.07,3.81,42.39
P1B1117N19,P1,B1117,1.87,2.93,4.14,43.25
P1B1117N20,P1,B1117,1.99,3.02,4.05,43.29
P1B1118N11,P1,B1118,2.02,3.15,3.93,43.15
P1B1118N12,P1,B1118,1.89,2.92,4.15,43.28
P1B1118N13,P1,B1118,2.01,2.95,4.22,43.97
P1B1118N14,P1,B1118,1.95,3.03,3.89,42.44
P1B1118N15,P1,B1118,1.99,2.96,4.15,43.62
P1B1118N16,P1,B1118,2.13,2.97,3.92,42.77
P1B1118N17,P1,B1118,2.03,3.0,3.89,42.52
P1B1118N18,P1,B1118,2.0,3.01,3.9,42.53
P1B1118N19,P1,B1118,1.97,3.03,4.3,44.51
P1B1118N20,P1,B1118,1.91,2.88,3.98,42.35
P1B1119N11,P1,B1119,1.97,2.95,3.98,42.68
P1B1119N12,P1,B1119,1.99,3.03,3.91,42.6
P1B1119N13,P1,B1119,2.03,2.92,3.95,42.59
P1B1119N14,P1,B1119,1.93,3.06,3.89,42.49
P1B1119N15,P1,B1119,2.08,3.08,3.75,42.14
P1B1119N16,P1,B1119,1.98,3.01,4.05,43.23
P1B1119N17,P1,B1119,1.95,3.02,3.7,41.46
P1B1119N18,P1,B1119,1.96,3.06,4.07,43.46
P1B1119N19,P1,B1119,2.05,3.11,3.97,43.26
P1B1119N20,P1,B1119,2.03,3.12,3.78,42.32
P1B1120N11,P1,B1120,2.12,2.91,3.99,42.93
P1B1120N12,P1,B1120,2.03,3.06,3.95,42.99
P1B1120N13,P1,B1120,2.08,3.05,3.78,42.2
P1B1120N14,P1,B1120,2.14,2.91,3.97,42.86
P1B1120N15,P1,B1120,1.97,3.04,4.18,43.96
P1B1120N16,P1,B1120,2.04,3.04,3.82,42.29
P1B1120N17,P1,B1120,1.99,3.02,4.13,43.7
P1B1120N18,P1,B1120,2.07,3.22,4.33,45.45
P1B1120N19,P1,B1120,1.96,3.15,4.04,43.56
P1B1120N20,P1,B1120,2.1,2.91,3.97,42.78
P1B1121N11,P1,B1121,2.04,2.81,3.88,41.92
P1B1121N12,P1,B1121,1.94,3.02,3.93,42.58
P1B1121N13,P1,B1121,2.04,3.0,4.23,44.22
P1B1121N14,P1,B1121,1.97,2.94,4.01,42.82
P1B1121N15,P1,B1121,2.01,3.12,3.83,42.52
P1B1121N16,P1,B1121,2.09,2.89,4.03,43.01
P1B1121N17,P1,B1121,2.09,3.02,3.96,43.04
P1B1121N18,P1,B1121,1.89,3.12,3.93,42.79
P1B1121N19,P1,B1121,2.02,2.97,4.13,43.59
P1B1121N20,P1,B1121,1.98,3.02,3.78,41.91
P1B1122N11,P1,B1122,2.03,3.01,4.06,43.38
P1B1122N12,P1,B1122,1.98,3.12,3.9,42.82
P1B1122N13,P1,B1122,2.03,3.02,4.13,43.77
P1B1122N14,P1,B1122,1.91,3.12,4.08,43.61
P1B1122N15,P1,B1122,2.03,3.06,4.17,44.09
P1B1122N16,P1,B1122,1.95,3.07,4.26,44.41
P1B1122N17,P1,B1122,2.03,2.94,3.92,42.49
P1B1122N18,P1,B1122,1.99,2.89,3.92,42.24
P1B1122N19,P1,B1122,2.08,3.19,3.86,43.03
P1B1122N20,P1,B1122,2.11,2.85,3.96,42.59
P1B1123N11,P1,B1123,1.96,3.19,3.97,43.34
P1B1123N12,P1,B1123,2.23,2.96,3.95,43.09
P1B1123N13,P1,B1123,2.03,2.99,3.85,42.27
P1B1123N14,P1,B1123,2.02,2.9,3.73,41.39
P1B1123N15,P1,B1123,1.98,3.08,4.17,44.07
P1B1123N16,P1,B1123,1.91,2.83,3.79,41.27
P1B1123N17,P1,B1123,1.96,3.14,3.96,43.14
P1B1123N18,P1,B1123,1.99,3.08,4.31,44.75
P1B1123N19,P1,B1123,2.06,2.93,4.13,43.56
P1B1123N20,P1,B1123,1.94,3.0,4.14,43.58
P1B1124N11,P1,B1124,1.93,2.96,3.87,42.09
P1B1124N12,P1,B1124,1.98,3.05,3.87,42.46
P1B1124N13,P1,B1124,1.96,2.95,4.0,42.78
P1B1124N14,P1,B1124,1.94,2.86,4.2,43.47
P1B1124N15,P1,B1124,2.01,2.93,3.85,42.05
P1B1124N16,P1,B1124,1.96,2.92,3.95,42.44
P1B1124N17,P1,B1124,2.07,3.03,3.75,41.99
P1B1124N18,P1,B1124,2.06,2.94,4.0,42.92
P1B1124N19,P1,B1124,1.85,3.08,4.08,43.35
P1B1124N20,P1,B1124,1.98,2.96,4.1,43.34
P1B1125N11,P1,B1125,1.99,2.94,3.99,42.74
P1B1125N12,P1,B1125,2.08,2.86,3.94,42.43
P1B1125N13,P1,B1125,1.96,3.24,3.94,43.34
P1B1125N14,P1,B1125,1.98,2.98,4.18,43.8
P1B1125N15,P1,B1125,2.08,2.81,4.02,42.69
P1B1125N16,P1,B1125,2.08,3.02,4.07,43.57
P1B1125N17,P1,B1125,2.05,3.15,4.02,43.67
P1B1125N18,P1,B1125,1.92,3.05,4.07,43.35
P1B1125N19,P1,B1125,2.1,3.14,3.94,43.32
P1B1125N20,P1,B1125,1.99,2.99,4.18,43.84
P1B1126N11,P1,B1126,1.98,3.02,4.34,44.72
P1B1126N12,P1,B1126,2.03,2.98,4.11,43.57
P1B1126N13,P1,B1126,2.1,3.08,4.17,44.29
P1B1126N14,P1,B1126,2.02,2.91,3.85,42.03
P1B1126N15,P1,B1126,2.0,2.92,3.92,42.36
P1B1126N16,P1,B1126,2.05,3.1,3.81,42.45
P1B1126N17,P1,B1126,2.15,3.01,3.72,41.94
P1B1126N18,P1,B1126,1.94,2.9,4.03,42.73
P1B1126N19,P1,B1126,2.01,3.1,3.85,42.55
P1B1126N20,P1,B1126,2.17,3.0,3.88,42.72
P1B1127N11,P1,B1127,2.03,2.94,3.96,42.69
P1B1127N12,P1,B1127,1.88,2.99,3.79,41.67
P1B1127N13,P1,B1127,2.08,2.81,3.99,42.53
P1B1127N14,P1,B1127,1.97,3.05,4.14,43.79
P1B1127N15,P1,B1127,1.92,3.02,4.0,42.89
P1B1127N16,P1,B1127,2.04,2.98,3.95,42.78
P1B1127N17,P1,B1127,1.98,2.94,3.78,41.66
P1B1127N18,P1,B1127,1.97,3.09,3.91,42.76
P1B1127N19,P1,B1127,1.96,3.21,4.02,43.64
P1B1127N20,P1,B1127,2.05,2.92,4.05,43.1
P1B1128N11,P1,B1128,2.0,2.87,3.95,42.35
P1B1128N12,P1,B1128,2.1,3.03,3.88,42.68
P1B1128N13,P1,B1128,2.02,3.06,4.17,44.08
P1B1128N14,P1,B1128,1.97,3.03,4.03,43.19
P1B1128N15,P1,B1128,2.07,3.08,4.19,44.33
P1B1128N16,P1,B1128,2.07,2.99,3.93,42.75
P1B1128N17,P1,B1128,1.86,3.11,4.09,43.48
P1B1128N18,P1,B1128,2.05,2.86,3.82,41.78
P1B1128N19,P1,B1128,1.98,2.93,3.98,42.66
P1B1128N20,P1,B1128,2.03,2.93,4.05,43.09
P1B1129N11,P1,B1129,2.03,2.83,4.32,44.14
P1B1129N12,P1,B1129,2.18,2.9,4.28,44.43
P1B1129N13,P1,B1129,2.13,2.88,4.14,43.6
P1B1129N14,P1,B1129,2.05,2.79,4.02,42.57
P1B1129N15,P1,B1129,1.96,3.16,3.86,42.71
P1B1129N16,P1,B1129,1.95,2.96,3.99,42.72
P1B1129N17,P1,B1129,1.99,3.17,3.98,43.39
P1B1129N18,P1,B1129,2.03,3.05,4.09,43.67
P1B1129N19,P1,B1129,1.98,2.97,4.25,44.11
P1B1129N20,P1,B1129,1.94,2.94,4.2,43.69
P1B1130N11,P1,B1130,2.1,3.02,4.0,43.26
P1B1130N12,P1,B1130,1.93,2.92,4.12,43.21
P1B1130N13,P1,B1130,2.05,3.04,4.09,43.66
P1B1130N14,P1,B1130,1.92,2.88,3.96,42.28
P1B1130N15,P1,B1130,2.01,3.08,4.06,43.55
P1B1130N16,P1,B1130,1.94,2.9,4.12,43.18
P1B1130N17,P1,B1130,2.01,3.08,3.96,43.07
P1B1130N18,P1,B1130,1.94,3.13,3.69,41.72
P1B1130N19,P1,B1130,1.88,2.82,4.09,42.67
P1B1130N20,P1,B1130,2.01,3.03,3.93,42.74
P1B1131N11,P1,B1131,1.96,2.97,3.93,42.49
P1B1131N12,P1,B1131,2.0,3.04,3.93,42.75
P1B1131N13,P1,B1131,2.21,2.83,4.0,42.9
P1B1131N14,P1,B1131,2.22,3.0,3.98,43.34
P1B1131N15,P1,B1131,2.11,3.01,4.2,44.25
P1B1131N16,P1,B1131,2.07,3.08,4.03,43.54
P1B1131N17,P1,B1131,2.12,3.03,4.13,43.97
P1B1131N18,P1,B1131,1.98,3.19,4.15,44.28
P1B1131N19,P1,B1131,2.03,3.02,4.07,43.48
P1B1131N20,P1,B1131,1.93,3.04,4.09,43.45
P1B1132N11,P1,B1132,2.04,2.97,3.98,42.87
P1B1132N12,P1,B1132,2.01,2.97,3.88,42.32
P1B1132N13,P1,B1132,2.03,3.1,3.89,42.81
P1B1132N14,P1,B1132,2.09,2.86,4.16,43.56
P1B1132N15,P1,B1132,2.11,3.15,3.98,43.56
P1B1132N16,P1,B1132,1.98,2.9,3.86,41.96
P1B1132N17,P1,B1132,2.01,2.92,4.16,43.59
P1B1132N18,P1,B1132,2.1,3.23,4.11,44.45
P1B1132N19,P1,B1132,1.99,2.88,3.83,41.77
P1B1132N20,P1,B1132,2.07,2.98,4.06,43.39
P1B1133N11,P1,B1133,2.06,2.78,3.95,42.21
P1B1133N12,P1,B1133,2.01,2.95,4.04,43.06
P1B1133N13,P1,B1133,1.91,2.98,3.83,41.9
P1B1133N14,P1,B1133,2.02,2.88,3.91,42.25
P1B1133N15,P1,B1133,2.08,2.91,4.24,44.09
P1B1133N16,P1,B1133,1.97,3.03,3.96,42.83
P1B1133N17,P1,B1133,1.92,3.06,4.05,43.27
P1B1133N18,P1,B1133,2.02,2.93,3.91,42.38
P1B1133N19,P1,B1133,2.02,2.99,4.16,43.81
P1B1133N20,P1,B1133,1.99,2.96,4.07,43.21
P1B1134N11,P1,B1134,1.97,2.96,3.99,42.76
P1B1134N12,P1,B1134,1.96,2.93,3.92,42.32
P1B1134N13,P1,B1134,1.94,2.99,3.98,42.75
P1B1134N14,P1,B1134,2.03,2.99,4.0,43.03
P1B1134N15,P1,B1134,1.91,2.97,4.05,42.97
P1B1134N16,P1,B1134,1.89,3.06,4.22,44.05
P1B1134N17,P1,B1134,2.01,2.9,3.81,41.78
P1B1134N18,P1,B1134,2.14,3.14,3.99,43.66
P1B1134N19,P1,B1134,2.18,3.13,3.97,43.6
P1B1134N20,P1,B1134,1.87,2.97,3.89,42.09
P1B1135N11,P1,B1135,2.04,2.95,4.01,42.97
P1B1135N12,P1,B1135,2.04,3.06,3.87,42.6
P1B1135N13,P1,B1135,2.06,2.99,3.86,42.4
P1B1135N14,P1,B1135,2.08,2.98,3.85,42.34
P1B1135N15,P1,B1135,1.99,3.0,4.08,43.38
P1B1135N16,P1,B1135,1.98,3.06,4.21,44.17
P1B1135N17,P1,B1135,2.0,2.98,3.9,42.43
P1B1135N18,P1,B1135,2.03,3.17,3.94,43.27
P1B1135N19,P1,B1135,1.87,3.09,4.0,43.0
P1B1135N20,P1,B1135,1.96,3.04,3.91,42.58
P1B1136N11,P1,B1136,1.92,3.07,4.16,43.86
P1B1136N12,P1,B1136,2.0,2.99,4.04,43.16
P1B1136N13,P1,B1136,2.02,3.04,3.93,42.82
P1B1136N14,P1,B1136,1.98,2.99,4.23,44.09
P1B1136N15,P1,B1136,2.06,2.98,4.14,43.76
P1B1136N16,P1,B1136,1.98,3.03,4.11,43.6
P1B1136N17,P1,B1136,2.1,3.09,3.9,42.95
P1B1136N18,P1,B1136,1.97,3.0,3.78,41.85
P1B1136N19,P1,B1136,2.02,3.06,3.85,42.46
P1B1136N20,P1,B1136,1.96,3.02,4.09,43.45
P1B1137N11,P1,B1137,2.0,3.04,3.82,42.19
P1B1137N12,P1,B1137,2.07,2.94,4.09,43.4
P1B1137N13,P1,B1137,1.99,3.1,3.99,43.23
P1B1137N14,P1,B1137,1.99,3.02,3.91,42.58
P1B1137N15,P1,B1137,2.05,3.15,3.88,42.95
P1B1137N16,P1,B1137,2.07,2.94,3.96,42.77
P1B1137N17,P1,B1137,1.97,3.18,3.98,43.39
P1B1137N18,P1,B1137,2.04,3.02,4.1,43.64
P1B1137N19,P1,B1137,1.86,3.02,4.07,43.14
P1B1137N20,P1,B1137,2.02,3.02,3.98,42.98
P1B1138N11,P1,B1138,1.92,3.0,4.03,42.99
P1B1138N12,P1,B1138,2.06,2.97,3.96,42.82
P1B1138N13,P1,B1138,1.87,2.99,3.81,41.76
P1B1138N14,P1,B1138,2.0,2.97,3.96,42.71
P1B1138N15,P1,B1138,1.92,3.07,3.97,42.9
P1B1138N16,P1,B1138,2.01,2.82,3.8,41.49
P1B1138N17,P1,B1138,1.96,3.1,3.93,42.87
P1B1138N18,P1,B1138,2.18,2.86,3.94,42.63
P1B1138N19,P1,B1138,2.01,2.91,4.13,43.4
P1B1138N20,P1,B1138,1.93,3.14,3.79,42.22
P1B1139N11,P1,B1139,2.04,3.14,4.02,43.61
P1B1139N12,P1,B1139,1.93,2.83,4.06,42.67
P1B1139N13,P1,B1139,1.9,3.08,4.19,43.99
P1B1139N14,P1,B1139,2.02,2.94,3.85,42.1
P1B1139N15,P1,B1139,1.87,2.96,3.95,42.37
P1B1139N16,P1,B1139,2.01,2.8,4.15,43.17
P1B1139N17,P1,B1139,1.99,2.96,3.86,42.17
P1B1139N18,P1,B1139,2.08,3.1,4.16,44.26
P1B1139N19,P1,B1139,1.97,3.03,4.05,43.29
P1B1139N20,P1,B1139,2.05,3.1,4.04,43.59
P1B1140N11,P1,B1140,1.99,2.85,3.99,42.48
P1B1140N12,P1,B1140,1.99,2.79,3.74,41.05
P1B1140N13,P1,B1140,1.98,3.0,4.11,43.51
P1B1140N14,P1,B1140,1.99,3.18,4.04,43.73
P1B1140N15,P1,B1140,2.01,2.76,3.82,41.4
P1B1140N16,P1,B1140,2.01,3.0,4.22,44.11
P1B1140N17,P1,B1140,1.86,3.15,3.91,42.72
P1B1140N18,P1,B1140,2.05,2.93,4.13,43.54
P1B1140N19,P1,B1140,1.98,3.07,3.88,42.58
P1B1140N20,P1,B1140,1.92,2.96,4.05,42.95
P1B1141N11,P1,B1141,1.99,3.0,4.19,43.93
P1B1141N12,P1,B1141,1.94,2.94,3.78,41.6
P1B1141N13,P1,B1141,2.0,2.86,4.12,43.19
P1B1141N14,P1,B1141,1.99,2.82,4.06,42.76
P1B1141N15,P1,B1141,1.93,2.83,3.71,40.9
P1B1141N16,P1,B1141,2.01,2.93,4.06,43.11
P1B1141N17,P1,B1141,1.94,2.88,4.05,42.77
P1B1141N18,P1,B1141,2.03,3.06,3.97,43.08
P1B1141N19,P1,B1141,1.85,3.11,3.99,42.98
P1B1141N20,P1,B1141,2.01,3.09,4.12,43.89
P1B1142N11,P1,B1142,1.96,2.92,3.87,42.03
P1B1142N12,P1,B1142,1.97,2.91,3.83,41.79
P1B1142N13,P1,B1142,2.1,3.1,4.18,44.41
P1B1142N14,P1,B1142,1.98,3.09,4.02,43.32
P1B1142N15,P1,B1142,2.02,3.05,4.08,43.58
P1B1142N16,P1,B1142,2.07,2.96,4.34,44.71
P1B1142N17,P1,B1142,2.1,2.86,4.17,43.63
P1B1142N18,P1,B1142,1.93,2.8,4.09,42.72
P1B1142N19,P1,B1142,2.07,3.16,4.07,43.97
P1B1142N20,P1,B1142,1.94,2.89,3.86,41.84
P1B1143N11,P1,B1143,1.92,2.91,4.08,42.96
P1B1143N12,P1,B1143,2.09,2.98,4.06,43.42
P1B1143N13,P1,B1143,1.95,3.14,3.94,43.03
P1B1143N14,P1,B1143,2.02,2.91,4.21,43.81
P1B1143N15,P1,B1143,2.07,3.05,4.27,44.63
P1B1143N16,P1,B1143,2.11,2.99,4.03,43.35
P1B1143N17,P1,B1143,2.0,3.16,4.07,43.83
P1B1143N18,P1,B1143,1.98,2.92,4.17,43.56
P1B1143N19,P1,B1143,1.97,2.83,4.13,43.1
P1B1143N20,P1,B1143,2.0,2.98,3.95,42.69
P1B1144N11,P1,B1144,2.07,3.0,4.14,43.85
P1B1144N12,P1,B1144,1.87,3.05,4.12,43.5
P1B1144N13,P1,B1144,1.98,3.11,3.98,43.2
P1B1144N14,P1,B1144,2.05,3.04,3.82,42.32
P1B1144N15,P1,B1144,2.05,3.02,3.86,42.46
P1B1144N16,P1,B1144,1.89,2.85,3.84,41.54
P1B1144N17,P1,B1144,2.07,2.88,4.01,42.84
P1B1144N18,P1,B1144,2.0,2.89,3.87,42.02
P1B1144N19,P1,B1144,1.94,3.06,3.87,42.42
P1B1144N20,P1,B1144,1.93,3.0,3.92,42.47
P1B1145N11,P1,B1145,1.96,3.03,4.16,43.82
P1B1145N12,P1,B1145,1.98,3.09,4.2,44.24
P1B1145N13,P1,B1145,2.07,3.08,4.08,43.79
P1B1145N14,P1,B1145,1.94,2.9,3.86,41.86
P1B1145N15,P1,B1145,1.92,2.98,3.97,42.62
P1B1145N16,P1,B1145,1.94,3.16,4.04,43.56
P1B1145N17,P1,B1145,1.98,2.87,3.88,41.97
P1B1145N18,P1,B1145,1.86,2.94,3.9,42.05
P1B1145N19,P1,B1145,2.08,3.15,4.16,44.41
