"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B1121","7.15","6.71","7.82","5.05","3.12","5.13",".22",".8","7.29","2.21","good"
"B1122",".46","4.06","1.73","4.41","3.62","2.17","9.05","5.91","3.31","1.83","good"
"B1123","6.23","7.64","1.75","4.99","6.35","1.86","6.01","2.29","9.76","8.89","good"
"B1124","1.05","3.85","8.7",".17","1.04","8.37","3.07","5.92","9.72","5.83","good"
"B1125","6.01","9.57",".5","2.84","1.4",".98","2.82","7.22","1.23","8.43","poor"
"B1126","8.68",".37","3.78","3.01","9.38","6.87",".73","6.41","1.56","4.1","good"
"B1127","7.32","9.25","7.46","4.78","9.26","5.76","3.85","2.46","6.42","3.28","good"
"B1128","2.24","5.14","1.83","4.02","3.22","6.34","3.55","9.35","6.6","7.81","good"
"B1129","8.79",".82","2.49","6.32","8.95","9.8",".64","2.65","8.52","8.29","good"
"B1130","4.75","3.68",".17","4.86","7.31","4.68","4.2","3.21","6.15","1.23","poor"
"B1131","7.71","1.24","4.92","3.4","4.52","8.62","8.74","5.94","9.61","9.44","good"
"B1132","2.29",".6","2.69",".2","4.95","1.99","3.02","8.91","2.17","4.33","good"
"B1133","4.46","4.77","1.58","6.6",".27","3.51","1.7","7.06","8.54","1.88","poor"
"B1134","4.85","8.16","2.67","8.27","8.97","1.4","3.41","6.14","8.17","2.62","good"
"B1135","4.78","9.69","2.37","7.95","5.47","4.08","7.02",".56",".01","9.49","good"
"B1136","4.38","5.21","5.88","5.89","3.05","1.66","1.63","1.53","7.66","2.49","good"
"B1137","8.23","8.32","1.02","4.21","9.79","3.62","8.76","1.48","4.89","6.61","good"
"B1138",".13","3.76","7.35",".9","7.1","2.23","5.03","1.61","4.65","5.32","good"
"B1139","3.73","4.57","8.46","7.21","3.09",".17","4.99","5.76","9.93","4.83","poor"
"B1140","4.81","4.35","6.62","3.84","6.63","1.55","5.07","2.18","8.18","7.42","good"
"B1141",".69",".6","3.87","8.5","6.67","3.81","4.94","4.21",".26","3.41","good"
"B1142","9.78","5.34","4.6","4.1","7.27","3.74","2.91","3.27",".94","7.66","good"
"B1143","4.52","6.9","9.21","2.61","6.85","3.63","5.93","4.97",".65","4.35","good"
"B1144","9.21","6.88","3.44","3.41","3.33","7.58",".81","8.32","6.49","8.69","good"
"B1145","2.29","5.6","7.91",".18","1.81","4.61","7.56","4.94","6.15","3.4","good"
"B1146","4.73","4.78","2.36","4.44","6.94","7.06","6.03","5.44","4.18","3.97","good"
"B1147","9.14","4.1","4.91","4.38","1.38","9.15","8.26","9.41","5.43","6.17","good"
"B1148","4.8","1.08","7.58","1.1","6.05","6.19","9.96","8.32","2.74","4.67","good"
"B1149","6.63","7.99","7.5","3.97","7.11","9.92","7.5","4.47","4.41","5.02","good"
"B1150","8.93","3.44","6.97",".8","8.28","7.24","1.83","9.93","9.77","8.11","good"
"B1151","7.55","1.52","7.74","2.38","9.74","4.48","5.37","1.56","7.23","3.05","good"
"B1152","4.16",".88",".18","1.98","6.47","5.72","6.15","9.45","7.05","5.44","poor"
"B1153","7.23",".31",".08","8.61","6.75","7.39","5.53","7.77","2.77",".14","poor"
"B1154","4.26","5.52","7.62","8.07","9.11","2.44","6.13","3.01",".75","4.6","good"
"B1155","8.43","5.91","7.68","1.08","7.87","4.01","1.96","1.05","3.54","8.71","good"
"B1156","8.96","7.59","7.79","1.68","5.25","1.33","1.56",".43",".23","1.2","good"
"B1157","6.73","6.57","1.67","4.43","2.15","1.28","6.55","7.74","8.94","9.7","good"
"B1158","7.12","8.86","7.54",".15","4.92","5.04","5.19","4.74","3.36","6.83","good"
"B1159","7.73","9.32","7.45","6.64","3.51","5.74","4.17","9.55","2.78",".68","good"
"B1160",".18","3.88","9.74","9.45","3.79","3.2","1.72","9.4",".7","1.98","good"
"B1161","8.77","2.5","2.09",".46",".96","4.81","5.61","5.16","3.64","2.29","poor"
"B1162","2.06","7.26","3.48","2.2","1.51","7.46","3.93","4.58","1.68","6.86","good"
"B1163","4.12",".49","8.9","4.48","1.28","2.75","4.39","9.37",".23","7.24","good"
"B1164","1.32","5.7","8.06","6.27",".72","3.35","5.42","4.01","4.57","5.96","poor"
"B1165","9.99","7.42","9.62","9.75","3.56",".66",".82","9.78","5.37","2.44","good"
"B1166",".57","9.17","3.83","2.47","2.61","9.8","1.12","9.48",".49","5.53","good"
"B1167","6.81","9.13",".18","9.4","6.38","3.12","8.82","5.14","6.57","6.79","poor"
"B1168","1.43","2.91","6.33","7.69","7.42","3.2","6.5","3.75","3.6","4.43","good"
"B1169","8.39","7.16","9.56","9.62","4.2","2.42","4.97","3.11","4.43","1.54","good"
"B1170","9.66","2.57","1.06","7.73","8.42","3.58","1.23","7.31","2.5","3.88","good"
"B1171","3.59","7.43","6.52","6.93","8.23","8.14","2.74","5.81","3.09","9.35","good"
"B1172","7.72",".06","4.59","4.33",".24","3.47","3.42",".06","4.95","1.17","poor"
"B1173",".99","7.34","1.47","4.1","5.72","8.17","2.64",".98","3.68","3.84","good"
"B1174","2.04","7.37","9.6","4.61","2.53","2.96","4.6","5","4.48","6.12","good"
"B1175",".27","2.25","5.72","1.6","8.42","8.32","2.52","9.27","8.68","8.83","good"
"B1176","5.08","6.34","7.84","2.3","1.04","6.33","3.01","2.61","1.61","5.68","good"
"B1177","4.31","7.3","9.08","8.93",".9",".83","4.92","5.06",".86","5.55","good"
"B1178","3.32","4.91","8.05","1.04","8.61","3.6","8.89","5.74","8.6","7.21","good"
"B1179","2.13","1.23","2.14","9.92","8.09","7.6","5.96",".14","5.75","2.39","good"
"B1180","8.22",".57","3.3",".64","8.58","2.69","7.36","6.73","2.04","2.86","good"
"B1181","3.56","1.47","1.01","9.4","8.26","6.68","7.11","4.42","9.31","4.72","good"
"B1182","9.89","6.19","8.96","9.62","4.99","2.73","9.79","8.75","5.22","9.41","good"
"B1183","8.25","9.07","5.9","1.94","5.32","8.6","9.89","9.32","6.27","2.55","good"
"B1184","1.39","3.27","8.39","2.16","1.53","9.05","7.86","7.03","5.86","7.96","good"
"B1185","8.41",".57","2.38","8.59","1.56","9.38","5.54","8.86","9.85","3.81","good"
"B1186","9.6","8.32","6.8",".25","2.15","8.71",".55","4.94","5.45","8.56","good"
"B1187",".58","3.27","1.46","3.24","9.97","6.05","6.57","8.79","2.48","2.49","good"
"B1188","5.18","1.94","5.99","4.92","1.37","7.5","2.21","7.17","3.5","9.06","good"
"B1189","6.42","1.59",".27","2.58","6.53","5.06","9.4","4.6","4.48","2.96","poor"
"B1190","1.38","4.14","5.56","8.81","2.78","4.48",".21","8.75","9.36","1.58","good"
"B1191","2.83","9.93","9.63","2.92","1.2","2.46","8.87","8.63","1.99","8.52","good"
"B1192","8.41","5.87","2.65","9.71","2.63","1.09","7.06","8.93","8.66","4.1","good"
"B1193","4.78","2.22",".1","7.29","8.41","6.12",".21","1.28","3.03",".88","poor"
"B1194","2.1","4.51","3.48","4.19",".78",".36","5.02","9.56","5.52","3.88","poor"
"B1195","4.82","2.49","5.89","6.8","7.9","7.71","4.18","1.03",".67","3.77","good"
"B1196",".61",".68","6.95","2.56","9.2","9.62","9.75","3.56",".82","1.98","good"
"B1197","5.51","9.48",".4","5.51","9.04","2.34","8.7","2.96","8.39","1","poor"
"B1198","7.24","5.46",".68","8.51","9.08","8.04","4.49","6.25","3.55","7.81","poor"
"B1199","1.31","9.74","2.69","9.19","6.78",".88",".33","9.4",".01","3.74","good"
"B1200","8.47","8.99",".39","3.7",".76","4.07","4.4","8.1","8.78","3.96","good"
"B1201","4.38",".23","4.54","9.04","3.39","4.81","5.96","5.91",".64","1","good"
"B1202","6.75","4.19","8.29","5.82","1.44","3.12","5.85","6.13","8.96","8.53","good"
"B1203","5.65","3.93","5.46","5.45","7.32","1.97","5","7.65","2.01","3.61","good"
"B1204","7.97","7.14","8.12","9.13","7.44","3.56","8.34","1.11","4.22",".33","good"
"B1205","3.18","7.46","4.77","5.69","4.21","8.73",".31","1.92","3.44","2.56","good"
"B1206","1.2","2.94","5.73","4.92","6.64",".52","9.25","8.22","6.96","6.32","poor"
"B1207","8.09","5.22","9.39","2.96","2.02",".94","2.21","9.9","8.45","7.48","good"
"B1208","4.75","6.48","9.43","1.19","4.09","8.87","4","5.9",".52",".44","good"
"B1209","7.54","3.41","7.44","6.59","2.93","2.69","2.26","8.65","5.01","5.44","good"
"B1210","2.82","8.25","2.29",".91","6.54","1.91","8.21","8.1","2.37","8.38","good"
"B1211",".5",".3","3.84","3.37","6.76",".95",".42","7.44","7.95","7.5","good"
"B1212","6.87","4.29","8.05",".06","3.32","2.36","6.29","8.99","7.11",".27","good"
"B1213","6.17","4.38","2.36","2.64","7.95","1.76","9.59","3.82","4.99",".46","good"
"B1214","3.94","1.3","7.45","4.77","7.87","4.04","5.8","3.64","5.64",".98","good"
"B1215","5.4","4.72","8.14","4.33","8.44","6.64","9.12","2.99","7.3","3.75","good"
"B1216","6.78","6.48","8.61","6.59","5.48",".49","4.61","5.55","3.36","4.96","poor"
"B1217","6.58","2.52","3.9","1.03","2.16","4.14","2.87","2.42","1.8","8.66","good"
"B1218","1.57","6.43",".79","5.65","6.65","5.34","5.77","1.45","7.2","7.2","poor"
"B1219","9.84","6.62","2.74","8.22","6.95","9.87","8.7","4.04","8.52","4.36","good"
"B1220","6.35","8.42","2.72","7.52","3.03","4.2","1.55","3.2","8.53","8.43","good"
"B1221","8.86","1.33","1.98","3.55","9.88","9.9","6.91","6.07","4.32","2.97","good"
"B1222","2.78","7.45","1.76",".92","1.34","4.53","1.08",".79","5.54","7.52","good"
"B1223","6.84",".83","5.13","9.53",".89","6.61","5.88","4.68","8.86","9.27","poor"
"B1224","1.46","4.61","4.65","5.49","3.67","6.08","6.89","1.6","1.07","4.14","good"
"B1225","5.88","3.46","5.43","9.13","2.13","1.91","9.11","4.16","2.24","4.67","good"
"B1226","3.21","4.2","4.98","2.49","9.25","8.76","3.77","7.3","8.01","4.68","good"
"B1227",".09","8.74","5.46","1.92","9.37",".31","1.4","6.99","5.88","6.75","poor"
"B1228","1.77",".12","2.39","4.35","2.01","5.1","1.87","1.41","5.92","4.71","good"
"B1229","5.25","1.39","9.75","5.96","4.11","4.4","4.53","6.28","6","5.05","good"
"B1230","9.31",".7",".69","2.23","5","1.16","6.98","6.4","6.49","7.63","poor"
"B1231","3.13","4.31","9.83","3.26",".45","7.94","9.64","4.9","4.33","1.63","poor"
"B1232","6.19","1.34",".63","8.32","4.21","5.15","6.73","6.68","1","7.02","poor"
"B1233","1.59",".06","4.81","4.61","7.52",".33","1.21","3.89","7.34","3.05","poor"
"B1234","1.51","2.58","4","9.82",".82","3.23","8.78","1","9.79","7.88","poor"
"B1235","6.58","9.64","1.46","1.49","2.1","8.95","8.99",".43","2.19","6.1","good"
"B1236","3.93","5.2","9.91","6.16",".87","3.2","8.91","6.39","2.54","9.08","poor"
"B1237","0","3.24","1.3","7.46","7.47","2.04","7.92","2.45","4.9","7.73","good"
"B1238","9.4","4.5","4.54","2","7.6","3.65","2.45","9.18","9.21","2.84","good"
"B1239","8.59","9.76","6.47",".22","8.01","7.9",".78","4.53","7.63","6.95","good"
"B1240","5.46","2.13","9.95","6.24","9.85",".7","4.36","5.85",".13",".37","good"
"B1241","1.17","2.08","3.2","1.89","9.87","8.77","3.64","5.03","3.49","3.1","good"
"B1242","8.18","4.13","4.37","9.15","9.91","2.14","5.27","3.45","5.99","9.91","good"
"B1243","1.17",".56","8.88","1.81","4.2","4.3","7.87","5.08",".6","4.33","good"
"B1244","2.49",".02","3.34","3.78",".79","6.69","7.6","3.73","2.64","5.74","poor"
"B1245","2.91","7.75","7.57","8.53","4.28","7.12","8.32","3.85","8.72","2.22","good"
"B1246",".45","7.59","4.63","7.78","6.36","9.43","1.27","3.24","1.91","5.08","good"
"B1247","9.58","3.31","4.82",".66","2.8","4.38",".66","7.44","2.08","3.16","good"
"B1248",".44",".45","7.95","3.42","6.83","2.98","2.42","3.87","6.61","5.05","good"
"B1249","9.38","3.12","2.35","4.88","3.5","6.26","7.47","1.08","2.27","1.79","good"
"B1250",".27","6.81","1.9","7.49","4.01","4.54",".54","9.58",".92","3.25","good"
"B1251","8.8","6.53","3.88","8.68","4.55","5.95","2.8","2.27","4.6","5.71","good"
"B1252",".97","7.08","1","2.66",".03","3.09","9.89",".78","9.15",".92","poor"
"B1253","7.97","3.9","9.29",".69","5.88","4.44","3.91","7.59","4.84","6.71","good"
"B1254","7.47","1.76","2.08","2.8","1.44","3.58","6","2.08","8.31","4.9","good"
"B1255","6.52","4.55",".48","8.8","0","4.14","2.87","6.99","7.48","4.03","poor"
"B1256","9.89","8.67","3.2","2.51","4.58","7.37","6.32",".57","6","1.18","good"
"B1257","8.32","9.49","1.1","2.65","7.08","6.8","6.6","3.48","4.13","1.76","good"
"B1258","9.69","5.01","6.76","9.47","9.14","5.37","6.19","9.39","5.99","8.72","good"
"B1259","5.44","3.44","8.55","4.64","2.14","7.88","8.63","4.22",".89","1.14","good"
"B1260","1.4","8.82","5.2","5.72","8.61","7.81","7.76","1.49","1.95","4.22","good"
"B1261","7.5","3.42","4.24","1.13","9.21","4.16","3.48","8.33","5.91","1.6","good"
"B1262","2.24","5.28","6.69",".06","9.01",".63","6.41","2.49","5.64","6.86","good"
"B1263","7.71",".13","6.79","5.79","5.41","5.16","7.76",".57","5.09","4.5","good"
"B1264",".24","7.76","7.03","8.62","4.5","5.95","7.03","4.46","3.13","3.3","good"
"B1265","4.02","9.61","2.01","4.81","2.75","1.88","6.62","2.82",".77","3.3","good"
"B1266","2.26","5.02","6.33","1.86","9.82","7.08",".39",".23","7.71","9.91","good"
"B1267","7.85","1.34","9.29","7.6","3.98","2.46",".31","9.05","2.58","6.77","good"
"B1268","3.95",".53","8.34","3.04","6.61","6.91","5.82","2.61","5.18","9.61","good"
"B1269","5.53","7.24","5.91","6.37","9.92","1.77",".03","5.66","5.86","9.3","good"
"B1270","5.09","4.52","7.6","7.49","5.29","7.01","6.52","7.34","4.66","3.55","good"
"B1271",".74","4.05","6.44","7.85","8.52","4.25","3.45","5.56","3.35","4.19","good"
"B1272","2.12","5.04","8.76","3.72","4.54","5.83","6.45","2.24","3.05","7.66","good"
"B1273",".73","6.47","4.15","6.4","6.5","7.05","2.33","9.3","6.8","3.17","good"
"B1274",".16","4.17","2.15","5.31",".08","5.6","7.68","3.07","3.35",".08","poor"
"B1275","9.38","8.16","9.76","7.16","1.71","3.21","8.94","3.21","5.4","3.62","good"
"B1276","9.86","1.44","2.85","1.94","9.54","7.77","8.81","1.61","4.89","3.28","good"
"B1277","8.32","7.95","1.46","5.26","2.3",".48","4.26","4.58","2.32","8.8","poor"
"B1278","6.23","9.89","9.51",".15","5.19","8.9","6.2","7.91","9.42","9.7","good"
"B1279","4.62","3.02","4.65","3.3",".45","3.8","1.21","5.14","2.7","1.34","poor"
"B1280","6.09","1.26","5.48","6.53","6.71","9.67","6.16",".77","9.46","5.7","good"
"B1281","7.21",".83","2.8",".86","4.37","4","4.64","3.85","6.58","5.2","good"
"B1282","6.11","3.31","4.56",".33","9.14","8.02","8.67","5.64","3.94","8.36","good"
"B1283","4.23","4.37",".74","9.54","4.94","2.55","5.51","6.61","7.57","8.7","poor"
"B1284","2.94","6.17","5.21","4.28",".15","4.78","8.42","8.85","4.37","6.31","poor"
"B1285","7.7","9.89","8.76",".89","3.71",".18",".78",".25","8.16","1.37","poor"
"B1286","8.3","2.4","6.73","3.87",".03","1.58","2.54","8.53","3.88","4.35","poor"
"B1287",".89","6.06","9.64","2.2","1.22","5.29","1.8","3.35","1.24","8.17","good"
"B1288","2.7","7.2","7.66","5.19","3.4","8.89","9.91","7.66","6.75",".38","good"
"B1289","8.95","3.38","2.69",".84","6.56","3.2","7.05","2.83","1.92","9.54","good"
"B1290","2.73","1.96",".06","5.09","9.8","2.31","7.44","9.96","5.27","5.18","poor"
"B1291","7.43","5.6","2.91","6.21","1.42","9.43","3.44","3.3","3.01","5.69","good"
"B1292","2.95","5.43","6.42","1.25","6.82","8.28","4.37","9.15","5.09","4.17","good"
"B1293","4.77","3.54","2.46","9.19",".92","3.67","6.1","6.36","6.16","9.83","poor"
"B1294","1.38","6.41","9.12","1.29","7.4","5.93","3.77","6.73","8.15","6.69","good"
"B1295","4.63","3.46","2.66","8.92","5.21","6.72","9.35","8.66","7.48","6.51","good"
"B1296","5.84","5.94","9.36","4.37",".29","6.53","1.84","6.11","1.24","8.44","poor"
"B1297","2.2","2.69","5.73","5.15",".98","8.25","6.13","9.08","6.11","2.2","poor"
"B1298","1.8","9","9.75","3.93","5.99",".64","6.79","2.15","4.64","6.28","good"
"B1299","6.01","9.04","6.3","9.72","6.53","8.39",".02","3.13","4.46","1.93","good"
"B1300","9.63","3.2","2.56","1.59","3.4","6.42","6.01","7.74","5.05","3.49","good"
"B1301","2.98","9.11","9.36","1.11","6.03","8.92","4.83","2.36","9.73","2.99","good"
"B1302",".08","6.14","7.37","4.79","6.62","9.57","2.6","5.89","9.62","5.3","good"
"B1303","5.02","9.56","1","9.53","4.12","6.71","7.19","8.48","9.09","9.74","good"
"B1304","6.5","8.59",".33","3.87","5.28","1.96","7.5","7.69","2.25","3.22","poor"
"B1305","1.06","9.26","2.36","3.14",".94","9.44","6.15","1.07","4.29","3.91","poor"
"B1306","2.96","2.15",".12","8.57","9.37","7.37","5.65","6.97",".69","1.73","poor"
"B1307","8.37","6.67","1.1","2.83","4.44","9.56","2.75","6.66","9.85","8.28","good"
"B1308",".67","9.38","3.54","4.19","8.24","1.18","2.99","4.96","5.95",".79","good"
"B1309","7.97","3.38","3.91","7.8","6.64","7.83","6.19","3.4","5.97",".33","good"
"B1310","7.72","2.56","1.65","6.26","8.01","2.79","5.18",".01","4.32","2.09","good"
"B1311","4.15","4.69","4.22","3.75","8.17","5.2","5.88",".47","1.85","8.72","good"
"B1312","4.65","5.73","5.95",".44","6.83",".68","1.32",".74","2.29","6.56","good"
"B1313","2.33","9.67","4.18","8.16","3.4",".6","8.8","5.12","6.76","7.88","good"
"B1314","8.15","5.38","2.52","6.27","4.66","9.9","7.93","5.64","7.91","8.03","good"
"B1315","2.22","6.15","6.61","8.98",".71","1.91","3.59","7.31","6.68","2.3","poor"
"B1316","7.57","8.64","3.56","6.14","4.87","8.53","1.27","1.55","9.9","8.95","good"
"B1317","4.18","2.39","5.49",".12","4.97","3.69","8.68","2.38","9.05",".94","good"
"B1318","7.63","3.26","4.12","7.07","1.92","3.12","5.86","3.31","8.59","2.76","good"
"B1319","3.88","1.68","5.38","5.44","6.99","8.13","6.35","4.16",".74",".23","good"
"B1320","5.57","7.89",".53","4.88","5.34","7.86","2.31","8.55",".15","3.49","poor"
"B1321","8.73","8.79","1.06","8.01","9.8","8.27","4.37","2.3","8.12","6.26","good"
"B1322","9.43","0","8.94","4",".19","6.79","3.04","3.95","2.44",".59","poor"
"B1323","5.8","7.05","7.49","8.84","5.82","5.48","2.33","4.08","8.74","4.66","good"
"B1324","9.16","9.63","3.74","6.24","7.8","8.87","8.64","8.49","8.28","7.56","good"
"B1325","1.88","1.49","5.68","2.54","5.12",".47",".53","2.55","6.35","2.75","poor"
"B1326","6.33","7.65","3.71","4.61","9.65","6.41","1.06","7.34","6.17","9.15","good"
"B1327",".47","5.92","4.21","7.01",".94",".58","8.64","4.94","2.06","9.54","poor"
"B1328","6.56","6.85","5.23","9.68",".99",".59","3.85","2.05","8.05","4.04","poor"
"B1329","8.87",".69",".48","2.58","4.45","9.46","2.75","3.21","2.25","4.71","poor"
"B1330","2.11","2.7","4.4","7.26","7.14","4.02","2.95","7.94","2.36","2.68","good"
"B1331","7.94",".45","4.37","9.88","3.14","9.3","2.3","2.42","3.42","6.43","good"
"B1332","5.48","6.01","5.69","2.16","6.28",".53","6.73","6.88","5.9",".5","poor"
"B1333","9.54","7.51","3","8.97","1.8","5.52","7.19","6.14","3.62","8.76","good"
"B1334","1.65","9.95","8.23","5.91","6.05","4.87","9.36","7.06","3.16","8.63","good"
"B1335","9.88","8.15","9.67",".52","7.24",".01","9.42","7.4","6.79","8.98","poor"
"B1336","7.29","5.48","7.45","6.68","4.25","7.59",".27","2","9.07","8.57","good"
"B1337","5.24","5.88","2.19","6.74","3.51",".16","2.75","3.36","3.69","1.44","poor"
"B1338","8.97","5.8","8.79","5.98","8.8","2.22","5.09","6.77","6.41","2.76","good"
"B1339","1.39","8.45","3.11","8.18","3.89",".49","6.67","2.51","6.37","6.41","poor"
"B1340","8.2","9.61","5.76","4.83","3.96","7.07","6.58","7.01","6.2","4.86","good"
"B1341","3.87","5.79","2.5","4.29","1.01","5.01","6.7","3.12","2.86","4.89","good"
"B1342","2.44","9.74","3.23","1.61","9.26","2.54","5.98","3.46",".98","5.54","good"
"B1343","8.64",".89","3.93","2.79","1.88","2.58","9.76","8.41","8.54","1.37","good"
"B1344","3.23","3.9","8.25",".3","8.01",".33","2.7","3.48","8.64","1.61","poor"
"B1345","9.55","7.62",".52","1.5","8.67","4.94","5.19","2.66","6.35","5.31","poor"
"B1346","7.29","9.73","2.6","3.98","8.01","6.99","2.99","6.88","5.11","5.59","good"
"B1347","6.02","3.87","3.32","5.73","6.43",".18","6.13","5.32","9.49",".31","poor"
"B1348","8.88","1.38","3.1","2.26","2.5","3.1","2.01","7.58","9.29","3.04","good"
"B1349","9.06","2.03",".46","1.3","2.47",".48","7.43","5.54","9.53","3.34","poor"
"B1350","9.51","4.51","7.71","7.05","1.09","1.24","2.86","8.41","4.19","1.74","good"
"B1351","9.15","8.46","1.95","8.27","7.36","6.68","8.8","7.3","3.25","1.14","good"
"B1352","7.24","5.77","7.82","2.59","6.65","9.09","3.84","1.46","3.94","5.83","good"
"B1353","2.18","7.8","8.62","1.8",".54","4.18","8.63","5.71","1.61",".48","poor"
"B1354","3.36","8.08","2.97","2.74","9.86","4.23","6.3","2.31","4.02","3.36","good"
"B1355","8.57","6.38","3.17","2.55","7.08","9.86","2.52","7.42","3.03","1.19","good"
"B1356","1.76","9.96","6.87","6.86","9.69","2.7","5.04","9.74","5.14","8.92","good"
"B1357","5.58","8.06",".58","7.34","7.42",".52",".98",".05","9.79","2.71","poor"
"B1358","4.73","3.03","3.75","9.87","5.61","4.09","5.63","9.36","9.95","2.56","good"
"B1359","7.16","4.35","1.3","1.59","4.06","5.48","8.15","6","5.52","3.25","good"
"B1360","2.19","8.86","1.74","1.64","4.98","2.58","5.39","2.43","4.93","7.64","good"
"B1361","9.3","3.29","4.11","2.93","1.33","6.6","3.49","9.96","4.94","2.23","good"
"B1362","7.42","1.35","3.51","9.06","4.24","4.01","3.17","8.07","9.27","6.45","good"
"B1363","3.25","6.52","4.55",".46","9.95","1.33","6.84",".32",".35",".99","good"
"B1364","5.41","8.79","9.16",".44","2.23","4.6","8.81","4.13","2.82","7.99","good"
"B1365","9.27","1.64","2.42","6.22","5.64","2.08","2.21","8.88","2.87","5.06","good"
"B1366","6.39","3.99","4.53","3.19",".8","2.98","6.67","7.05","5.01",".3","poor"
"B1367","4.2",".31","4.45","3.98","8.37","9.07","9.67","6.02","1.94","3.31","good"
"B1368","6.58","9.32","7.56","2.79","9.41","8.79","9.42","9.83",".29","3.42","good"
"B1369","8.64","6.69","3.44","9.72","5.62","4.59","6.02","3.03","1.06","3.67","good"
"B1370","7.38","2.29","5.61","1.18","4.98","5.28","5.18","6.83","7.67",".65","good"
"B1371","2.48","8.48",".74","3.63","7.79","1.49","4.65","3.5","6.83","4.07","poor"
"B1372","2.72","6.77",".18","9.88","1.46","6.78","3.42","1.94","1.78","9.43","poor"
"B1373","8.32","6.48","2.2","8.33","9.19","9.88","7.21","6.98","1.99","9.58","good"
"B1374",".42","8.63","2.51","5.96","3.97","4.72","7.55","9.82","6.56","8.84","good"
"B1375","7.41","1.83",".91","8.72","8.2","2.56",".53","1.05","1.58","9.74","good"
"B1376","9.26","4.62","8.94","4.74","1.58","7.34","2.74",".7","1.89","3.16","good"
"B1377","3.79","4.63","3.51","9.11","2.83","3.96","9.41","3.36","4.12",".84","good"
"B1378","7.25","9.15","4.06","4.01","1.43","4.69","6.11",".46","6.72","6.25","good"
"B1379","4.72","8.69","6.6","6.73","8.91","4.45","4.09","7.65","9.23","4.8","good"
"B1380","2.26","6.22","8.92","2.08","8.87","9.31","1.2","3.96","2.36","4.51","good"
"B1381","9.53","1.6","4.71","2.74","3.27","3.14","4.9","5.12","3.26","6.29","good"
"B1382","4.54","1.47","8.16","1.58","2.17",".26","1.58","7.84","8.09","4.02","poor"
"B1383",".25","2.73","3.1",".8",".52","8.62","8.07","3.51","1.59","6.37","poor"
"B1384","2.51","9.72","9.75","6.41","6.73","6.35","4.18",".1","5.54",".09","good"
"B1385","4.56","8.15","5.88","4.1","7.11","8.05","8.92","5.45","1.7","4.83","good"
"B1386","6.68","2.54","6.41",".23","2.24","9.73",".56","1.02","7.86","4.12","good"
"B1387","4.52","6.96","7.6","2.59",".35","3.55","3.39","6.53","4.44","2.85","poor"
"B1388","3.07","5","1.95","6.43","3.04","4.6","7.96",".98","1.18","6.12","good"
"B1389",".73","1.11","5.2","4.71","4.3","7.24","5.32","3.64","4.86","7.22","good"
"B1390","7.73","3.38",".88","6.17",".54","3.31","3.41","6.74","2.86",".52","poor"
"B1391",".84","3.07","4.64","5.71","5.64","4.62","8.02","6.7",".51","2.9","good"
"B1392","5.63","9.92","4.58","4.58","8.16","5.11","9.61","5.35","9.27","2.05","good"
"B1393","5.55","6.4","2.82","4.29","1.49","9.33","4.05","7.29","1.88","3.85","good"
"B1394","4.58","9.13","2.85","1.56","1.68","4.68","9.09","8.88","3.65","6.21","good"
